Hour,Wind_Speed_m_s
1,7.993428306022466
2,6.72347139765763
3,8.295377076201385
4,10.046059712816051
5,6.531693250553328
6,6.531726086101639
7,10.158425631014783
8,8.534869458305817
9,6.061051228130096
10,8.08512008717193
11,6.0731646143750755
12,6.068540492859486
13,7.483924543132068
14,3.173439510684404
15,3.5501643349739345
16,5.875424941518054
17,4.974337759331153
18,7.628494665190548
19,5.183951848957578
20,4.175392597329417
21,9.931297537843108
22,6.548447399026928
23,7.1350564093758475
24,4.150503627573086
25,5.911234550949635
26,7.2218451794197325
27,4.698012845155395
28,7.751396036691344
29,5.7987226201623905
30,6.416612500413446
31,5.796586775541206
32,10.704556369017876
33,6.973005550524132
34,4.884578142088199
35,8.645089824206378
36,4.5583127000579555
37,7.4177271900095105
38,3.080659752240449
39,4.3436279022031385
40,7.393722471738247
41,8.476933159990821
42,7.342736562379941
43,6.768703435223519
44,6.3977926088214225
45,4.042956019265145
46,5.5603115832105825
47,6.078722458080425
48,9.11424445243783
49,7.687236579136923
50,3.473919689274532
51,7.64816793878959
52,6.229835439167367
53,5.646155999388083
54,8.223352577681736
55,9.061999044991902
56,8.862560238232398
57,5.321564953554723
58,6.381575248297571
59,7.662526862807128
60,8.951090254244718
61,6.04165152430942
62,6.628682046672366
63,4.787330051987944
64,4.607586751838658
65,8.625051644788396
66,9.712480057141645
67,6.855979756839332
68,9.007065795784047
69,7.723272050095268
70,5.709760490789751
71,7.722791211016828
72,10.076073132931938
73,6.928347921780097
74,10.129287311628012
75,1.7605097918205113
76,8.643805008750448
77,7.174094136476342
78,6.401985299068265
79,7.183521553071005
80,3.0248621707982144
81,6.560656224324976
82,7.7142251430234925
83,9.955788089483033
84,5.963459563452705
85,5.3830127942136246
86,5.996485912830927
87,8.830804235404148
88,7.657502219319369
89,5.940479592465922
90,8.026534866226712
91,7.194155098696081
92,8.937289981065778
93,5.595893812245295
94,6.3446757068044635
95,6.215783693735685
96,4.072970103735763
97,7.592240554129152
98,7.522110544359778
99,7.010226913284922
100,6.530825733249706
101,4.1692585158991715
102,6.158709354469282
103,6.314570966946461
104,5.395445461556762
105,6.677428576667982
106,7.8081017136290765
107,10.77237180242106
108,7.349155625663678
109,7.515100781445529
110,6.851108168467666
111,3.162457569401917
112,6.946972249101567
113,7.120460419882053
114,11.926484224970572
115,6.615278070437755
116,7.603094684667225
117,6.9305764605895135
118,4.6626439247609355
119,9.285645629030041
120,8.503866065373549
121,8.582063894086094
122,5.181225090410522
123,9.805588621872198
124,4.196297874415438
125,8.17371418760054
126,11.380911251619956
127,5.0189273497386235
128,5.867404540794456
129,7.199302730175282
130,5.993048691767601
131,3.8986731378677346
132,7.137125949612055
133,4.87539257254779
134,7.9471848612703635
135,5.1611515315323935
136,10.09986881003508
137,5.433493415327526
138,6.355876967588649
139,8.62703443473934
140,4.53827136713209
141,7.4549198692082586
142,9.614285508564857
143,3.785033530877545
144,7.369267717064608
145,7.519765588496847
146,8.56364574355462
147,4.526098578243836
148,4.359086773831447
149,8.043883131233795
150,7.5939693464663724
151,7.5009857006917535
152,7.692896418993952
153,5.639950556843019
154,7.464507394322007
155,7.586144946597362
156,5.571297163947264
157,10.731549022289514
158,7.947665841823575
159,4.617393005594703
160,8.31310721726766
161,5.050636659545357
162,8.574169207484903
163,9.317191158014808
164,5.358635363296579
165,8.926752258488644
166,7.825561853872997
167,8.64412031998898
168,10.793585965307894
169,6.509223767994259
170,5.492527671285021
171,5.220971140748953
172,5.368379430069123
173,6.845796581171792
174,7.682303949633288
175,7.553381598660038
176,8.654366498072047
177,7.026003783755814
178,9.907068154314633
179,6.470686333524088
180,12.440338333179238
181,8.251334695530012
182,5.2856848871674345
183,4.858215003877776
184,7.96494483048637
185,6.553074429348298
186,8.428000988184184
187,7.94647524914709
188,6.854342174686255
189,5.30641256386319
190,3.9703055506282707
191,6.106970095865957
192,8.712797588646945
193,7.4281874882604075
194,4.508522442576024
195,7.346361851702364
196,7.770634759457674
197,5.232285127597734
198,7.307450211891056
199,7.116417436892
200,4.714059404338753
201,7.715574720696567
202,8.121569052736469
203,9.166102486350553
204,9.107604104069805
205,4.244661264085818
206,5.124349920169754
207,8.03007053441732
208,8.027571901824418
209,8.030095372612095
210,14.705462981309442
211,8.141781021386334
212,9.271131280361198
213,8.908003526986406
214,8.302782502611596
215,6.369461510719309
216,8.517938440986535
217,5.454349570924856
218,6.526362786519982
219,6.029272904341793
220,7.163748278772645
221,11.629317133347017
222,3.265469614816504
223,8.372520380749027
224,3.7745682576206967
225,6.056136268421133
226,9.177901193934732
227,7.128560038190925
228,4.844510444141388
229,5.569392581480064
230,8.35919549786935
231,5.539266736565727
